,full_address,neighborhood,nid,sale_price,prediction,difference,shap
0,"618 48th Ave, San Francisco, CA 94121-2410",1 - Outer Richmond,1050,3310000,3306051,-3948,Pros: 1) comp_price = 3605916 2) year_sold = 2018 3) baths = 4.0  Cons: 1) nid = 1050 2) rooms = 8.0 3) longitude = -122.50918999999999 
1,"1516 Great Highway, San Francisco, CA 94122",2 - Outer Sunset,2030,1830000,1614575,-215424,Pros: 1) year_sold = 2018 2) baths = 3.0 3) park_leased = ONST  Cons: 1) comp_price = 1458096 2) nid = 2030 3) longitude = -122.509056 
2,"1492 La Playa St, San Francisco, CA 94122",2 - Outer Sunset,2030,1300000,1090913,-209086,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) rooms = 3.0  Cons: 1) comp_price = 925318 2) lot_sf = 1245.0 3) baths = 1.0 
3,"784 48th Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1300000,1493652,193652,Pros: 1) year_sold = 2018 2) latitude = 37.77368 3) park_leased = ONST  Cons: 1) comp_price = 1370409 2) nid = 1050 3) longitude = -122.50898000000001 
4,"525 47th Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1865000,1732993,-132006,Pros: 1) year_sold = 2018 2) latitude = 37.778465000000004 3) park_leased = ONST  Cons: 1) nid = 1050 2) longitude = -122.50827 3) view_count = 1 
5,"5601 Anza St, San Francisco, CA 94121",1 - Outer Richmond,1050,3200000,2370116,-829883,Pros: 1) comp_price = 2405992 2) year_sold = 2018 3) baths = 4.5  Cons: 1) rooms = 9.5 2) nid = 1050 3) beds = 5 
6,"1878 Great Highway, San Francisco, CA 94122",2 - Outer Sunset,2030,1900000,1130147,-769852,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) street_name = Great Highway  Cons: 1) comp_price = 1030875 2) baths = 1.0 3) lot_sf = 1957.0 
7,"1327 48th Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1200000,1261478,61478,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) latitude = 37.761627000000004  Cons: 1) comp_price = 1064972 2) baths = 1.0 3) nid = 2030 
8,"618 47th Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1711400,1893817,182417,Pros: 1) year_sold = 2018 2) latitude = 37.776707 3) baths = 3.0  Cons: 1) nid = 1050 2) longitude = -122.508125 3) beds = 3 
9,"27 Alta Mar Way, San Francisco, CA 94121",1 - Outer Richmond,1050,1750000,1790398,40398,Pros: 1) year_sold = 2018 2) latitude = 37.78049 3) comp_price = 1855507  Cons: 1) nid = 1050 2) lot_sf = 1999.0 3) rooms = 8.0 
10,"5529 Anza St, San Francisco, CA 94121",1 - Outer Richmond,1050,3040000,3673148,633148,Pros: 1) comp_price = 4439359 2) year_sold = 2018 3) latitude = 37.777122  Cons: 1) nid = 1050 2) longitude = -122.50743 3) rooms = 6.5 
11,"2029-2029 B 48th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1080000,1297539,217539,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) street_name = 48th  Cons: 1) comp_price = 1253978 2) lot_sf = 1500.0 3) nid = 2020 
12,"542 46th Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,3381000,2361957,-1019042,Pros: 1) year_sold = 2018 2) comp_price = 2240520 3) latitude = 37.778217  Cons: 1) nid = 1050 2) beds = 5 3) longitude = -122.50716399999999 
13,"44 Seal Rock Dr, San Francisco, CA 94121",1 - Outer Richmond,1050,1850000,1793174,-56825,Pros: 1) year_sold = 2018 2) latitude = 37.780766 3) park_leased = ONST  Cons: 1) nid = 1050 2) rooms = 8.0 3) longitude = -122.50702 
14,"662 46th Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1825000,1568014,-256985,Pros: 1) year_sold = 2018 2) latitude = 37.775932 3) park_leased = ONST  Cons: 1) comp_price = 1389131 2) baths = 1.0 3) nid = 1050 
15,"1459 47th Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1385000,1354132,-30867,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) latitude = 37.7593  Cons: 1) comp_price = 1208565 2) nid = 2030 3) longitude = -122.50693000000001 
16,"787 46th Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1500000,1613553,113553,Pros: 1) year_sold = 2018 2) latitude = 37.77375 3) park_leased = ONST  Cons: 1) nid = 1050 2) longitude = -122.50685 3) baths = 1.5 
17,"778 46th Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1430000,1627991,197991,Pros: 1) year_sold = 2018 2) latitude = 37.773876 3) park_leased = ONST  Cons: 1) comp_price = 1500947 2) nid = 1050 3) longitude = -122.50685 
18,"811 46th Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,849000,1343691,494691,Pros: 1) year_sold = 2018 2) latitude = 37.773098 3) park_leased = ONST  Cons: 1) comp_price = 1010511 2) nid = 1050 3) longitude = -122.506805 
19,"806 46th Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,960000,1217172,257172,Pros: 1) year_sold = 2018 2) latitude = 37.773163000000004 3) park_leased = ONST  Cons: 1) comp_price = 1046400 2) baths = 1.0 3) lot_sf = 1875.0 
20,"4033 Ortega St, San Francisco, CA 94122",2 - Outer Sunset,2030,1200000,1359377,159377,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) street_name = Ortega  Cons: 1) comp_price = 1222814 2) nid = 2030 3) longitude = -122.50672 
21,"879 46th Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1035000,1518918,483918,Pros: 1) year_sold = 2018 2) latitude = 37.772009999999995 3) park_leased = ONST  Cons: 1) comp_price = 1328691 2) baths = 1.0 3) nid = 1050 
22,"1666 47th Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1225700,1163197,-62502,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) rooms = 3.0  Cons: 1) comp_price = 888434 2) baths = 1.0 3) nid = 2030 
23,"4015 Ortega St, San Francisco, CA 94122-3945",2 - Outer Sunset,2030,1350000,1329613,-20386,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) street_name = Ortega  Cons: 1) comp_price = 1282723 2) nid = 2030 3) longitude = -122.50656000000001 
24,"2110 47th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1530000,1280572,-249427,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) street_name = 47th  Cons: 1) comp_price = 1160211 2) lot_sf = 2060.0 3) nid = 2020 
25,"615 45th Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1725000,1550537,-174462,Pros: 1) year_sold = 2018 2) latitude = 37.776817 3) park_leased = ONST  Cons: 1) comp_price = 1332335 2) baths = 1.0 3) nid = 1050 
26,"1367 46th Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1480000,1375539,-104460,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) latitude = 37.761086  Cons: 1) comp_price = 1123719 2) nid = 2030 3) longitude = -122.50598000000001 
27,"695 45th Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1620000,1579999,-40000,Pros: 1) year_sold = 2018 2) latitude = 37.775535999999995 3) park_leased = ONST  Cons: 1) lot_sf = 1750.0 2) nid = 1050 3) rooms = 8.0 
28,"2263 47th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1000000,1233091,233091,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) street_name = 47th  Cons: 1) comp_price = 1135706 2) baths = 1.0 3) nid = 2020 
29,"1426 46th Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,2000000,1534063,-465936,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) latitude = 37.759859999999996  Cons: 1) comp_price = 1428998 2) nid = 2030 3) longitude = -122.50588 
30,"1434 46th Ave, San Francisco, CA 94122-2903",2 - Outer Sunset,2030,1520000,1181447,-338552,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) latitude = 37.75973  Cons: 1) comp_price = 938985 2) baths = 1.0 3) nid = 2030 
31,"2266 47th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1200000,1260111,60111,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) street_name = 47th  Cons: 1) comp_price = 1161741 2) baths = 1.0 3) nid = 2020 
32,"1466 46th Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1610000,1278662,-331337,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) latitude = 37.75922  Cons: 1) comp_price = 1166653 2) baths = 1.0 3) nid = 2030 
33,"2311 47th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1220000,1045397,-174602,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) street_name = 47th  Cons: 1) comp_price = 991138 2) baths = 1.0 3) lot_sf = 1750.0 
34,"2583 47th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1450000,1337111,-112888,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) street_name = 47th  Cons: 1) comp_price = 1255109 2) nid = 2020 3) longitude = -122.50546000000001 
